moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-04-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1955.0,915.00,245892,461069,7621.0,11425,0.03198,0.02541,
2021-04-28,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,15984,10498,568580,748745,180358,47766,0.46457,0.06814,
2021-04-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,36.000,40.000,484089,268912,2211.0,-1593.0,0.00459,-0.00589,
2021-04-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,18.000,35.000,129386,51909,2838.0,1249.0,0.02243,0.02465,
2021-04-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,985.00,868.00,142658,220135,3175.0,4764.0,0.02276,0.02212,
2021-04-28,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,223.00,193.00,891983,711818,-77822,54770,-0.08024,0.08336,
2021-04-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,175.00,158.00,17096,16562,361.00,-232.00,0.02157,-0.01381,
2021-04-28,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,45.000,44.000,142862,16966,1956.0,-551.00,0.01388,-0.03146,
2021-04-28,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2900.0,1100.0,27471,153367,-3232.0,-725.00,-0.10527,-0.00470,
2021-04-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,3.0000,4.0000,4223.0,81.000,-155.00,5.0000,-0.03540,0.06579,
2021-04-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,9.0000,4.0000,6988.0,7522.0,-422.00,171.00,-0.05695,0.02326,
2021-04-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,59.000,63.000,2286.0,6428.0,-133.00,-293.00,-0.05498,-0.04359,
2021-04-28,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,11.000,10.000,4924.0,472.00,86.000,-30.000,0.01778,-0.05976,
2021-04-28,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,300.00,55.000,350.00,4802.0,21.000,137.00,0.06383,0.02937,
2021-04-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,656.00,,,,,,
2021-04-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,62.000,62.000,4195.0,4195.0,,,,,
2021-04-28,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,19.000,25.000,7525.0,3112.0,241.00,113.00,0.03309,0.03768,
2021-04-28,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,904.00,355.00,9249.0,13662,125.00,253.00,0.01370,0.01887,
2021-04-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,6.0000,10.000,152.00,808.00,,,,,
2021-04-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,2.0000,2157.0,2157.0,,,,,
2021-04-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,22.000,35.000,49018,53448,700.00,411.00,0.01449,0.00775,
2021-04-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1862.0,858.00,79449,89878,2013.0,3093.0,0.02600,0.03564,
2021-04-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,27.000,37.000,42256,31827,345.00,-735.00,0.00823,-0.02257,
2021-04-28,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,3757.0,6414.0,99980,51744,-2357.0,392.00,-0.02303,0.00763,
2021-04-28,RTS,Фьючерсный контракт на Индекс РТС,F,,84.000,89.000,114103,162339,-9622.0,-12371,-0.07777,-0.07081,
2021-04-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,1159.0,881.00,77875,73445,2841.0,3130.0,0.03786,0.04451,
2021-04-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,5.0000,10.000,633.00,309.00,,,,,
2021-04-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,160.00,100.00,1976.0,2300.0,10.000,10.000,0.00509,0.00437,
2021-04-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,1.0000,3.0000,130.00,59.000,,,,,
2021-04-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,56.000,59.000,2500.0,2571.0,,,,,
2021-04-28,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,6292.0,1150.0,24672,100728,1565.0,2392.0,0.06773,0.02432,
2021-04-28,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,80.000,21.000,101666,25610,1380.0,553.00,0.01376,0.02207,
2021-04-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,,,1.0000,239.00,,,,,,
2021-04-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,956.00,956.00,,,,,
2021-04-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,5.0000,5.0000,23.000,262.00,,,,,
2021-04-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,16.000,16.000,1080.0,1080.0,,,,,
2021-04-28,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,12.000,14.000,6820.0,6063.0,-5.0000,-461.00,-0.00073,-0.07066,
2021-04-28,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,422.00,301.00,4974.0,5731.0,-100.00,356.00,-0.01971,0.06623,
2021-04-28,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,387.00,40.000,348.00,5618.0,-3.0000,46.000,-0.00855,0.00826,
2021-04-28,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,7.0000,7.0000,6900.0,1630.0,57.000,8.0000,0.00833,0.00493,
2021-04-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,2.0000,3.0000,836.00,819.00,26.000,26.000,0.03210,0.03279,
2021-04-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,1.0000,2.0000,377.00,166.00,,,,,
2021-04-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,8.0000,14.000,251.00,462.00,,,,,
2021-04-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,17.000,19.000,1035.0,1052.0,26.000,26.000,0.02577,0.02534,
2021-04-28,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,104.00,39.000,408.00,445.00,-8.0000,12.000,-0.01923,0.02771,
2021-04-28,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,3.0000,7.0000,124.00,87.000,5.0000,-15.000,0.04202,-0.14706,
2021-04-28,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,35.000,10.000,25.000,94.000,1.0000,1.0000,0.04167,0.01075,
2021-04-28,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,2.0000,4.0000,72.000,3.0000,,,,,
2021-04-28,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,22.000,21.000,214339,6360.0,4514.0,-6802.0,0.02151,-0.51679,
