moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-05-10,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,39.000,41.000,496644,270244,-667.00,134.00,-0.00134,0.00050,
2021-05-10,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,18639,6696.0,348913,782311,-154211,-49438,-0.30651,-0.05944,
2021-05-10,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1914.0,888.00,292155,518555,12655,11854,0.04528,0.02339,
2021-05-10,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,18.000,36.000,128755,51161,904.00,-351.00,0.00707,-0.00681,
2021-05-10,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,925.00,839.00,151051,228645,3609.0,4864.0,0.02448,0.02174,
2021-05-10,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,243.00,150.00,1046504,613106,85157,-19616,0.08858,-0.03100,
2021-05-10,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,200.00,183.00,20019,19865,288.00,288.00,0.01460,0.01471,
2021-05-10,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,44.000,49.000,155842,18921,6406.0,1923.0,0.04287,0.11313,
2021-05-10,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,76.000,83.000,2676.0,7228.0,69.000,69.000,0.02647,0.00964,
2021-05-10,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,3450.0,1233.0,26801,163722,-1641.0,2842.0,-0.05770,0.01767,
2021-05-10,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,3.0000,4.0000,4634.0,82.000,,,,,
2021-05-10,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,9.0000,5.0000,8330.0,8484.0,,,,,
2021-05-10,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,283.00,57.000,410.00,4000.0,30.000,31.000,0.07895,0.00781,
2021-05-10,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,11.000,9.0000,4971.0,1381.0,19.000,18.000,0.00384,0.01321,
2021-05-10,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,941.00,309.00,8829.0,12055,-1072.0,1389.0,-0.10827,0.13023,
2021-05-10,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,6.0000,13.000,202.00,833.00,,,,,
2021-05-10,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,3.0000,2.0000,2446.0,2496.0,,,,,
2021-05-10,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,1.0000,1.0000,681.00,50.000,,,,,
2021-05-10,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,67.000,68.000,4534.0,4484.0,,,,,
2021-05-10,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,26.000,17.000,7223.0,3997.0,490.00,-1971.0,0.07278,-0.33026,
2021-05-10,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,21.000,36.000,50349,57228,2577.0,3641.0,0.05394,0.06795,
2021-05-10,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,2621.0,7998.0,143740,43430,-3533.0,-586.00,-0.02399,-0.01331,
2021-05-10,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,28.000,35.000,44049,32108,2078.0,367.00,0.04951,0.01156,
2021-05-10,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1959.0,794.00,84740,96681,6706.0,8417.0,0.08594,0.09536,
2021-05-10,RTS,Фьючерсный контракт на Индекс РТС,F,,69.000,101.00,127140,227450,-8304.0,-11251,-0.06131,-0.04713,
2021-05-10,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,926.00,870.00,71922,65043,3995.0,2931.0,0.05881,0.04719,
2021-05-10,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,2.0000,3.0000,141.00,199.00,1.0000,,0.00714,,
2021-05-10,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,154.00,102.00,2071.0,2393.0,11.000,10.000,0.00534,0.00420,
2021-05-10,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,5.0000,10.000,632.00,310.00,,1.0000,,0.00324,
2021-05-10,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,62.000,54.000,2627.0,2569.0,-9.0000,-8.0000,-0.00341,-0.00310,
2021-05-10,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,80.000,23.000,84173,25158,407.00,-2996.0,0.00486,-0.10641,
2021-05-10,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,5141.0,1680.0,28351,87366,-1395.0,2008.0,-0.04690,0.02352,
2021-05-10,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,16.000,16.000,1080.0,1080.0,,,,,
2021-05-10,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,6.0000,10.000,27.000,266.00,,,,,
2021-05-10,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,956.00,956.00,,,,,
2021-05-10,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,,,1.0000,239.00,,,,,,
2021-05-10,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,736.00,234.00,4297.0,7112.0,-607.00,480.00,-0.12378,0.07238,
2021-05-10,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,15.000,16.000,8012.0,5197.0,1132.0,45.000,0.16453,0.00873,
2021-05-10,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,2.0000,3.0000,836.00,819.00,,,,,
2021-05-10,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,7.0000,8.0000,7255.0,1782.0,-95.000,-4.0000,-0.01293,-0.00224,
2021-05-10,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,383.00,38.000,386.00,5859.0,7.0000,-84.000,0.01847,-0.01413,
2021-05-10,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,19.000,20.000,1036.0,1053.0,,,,,
2021-05-10,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,1.0000,2.0000,377.00,166.00,,,,,
2021-05-10,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,8.0000,14.000,256.00,467.00,4.0000,4.0000,0.01587,0.00864,
2021-05-10,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,119.00,42.000,427.00,657.00,-6.0000,-4.0000,-0.01386,-0.00605,
2021-05-10,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,3.0000,8.0000,313.00,83.000,13.000,11.000,0.04333,0.15278,
2021-05-10,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,54.000,12.000,45.000,137.00,2.0000,11.000,0.04651,0.08730,
2021-05-10,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,1.0000,7.0000,104.00,12.000,6.0000,-3.0000,0.06122,-0.20000,
2021-05-10,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,1.0000,1.0000,43.000,38.000,,,,,
2021-05-10,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,3.0000,2.0000,138.00,90.000,,-4.0000,,-0.04255,
2021-05-10,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,26.000,20.000,218611,67366,1697.0,4462.0,0.00782,0.07093,
2021-05-10,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,96.000,52.000,1935.0,1983.0,-12.000,-8.0000,-0.00616,-0.00402,
2021-05-10,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,4765.0,1160.0,27384,178629,-4408.0,-7173.0,-0.13865,-0.03861,
2021-05-10,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,61.000,40.000,1398.0,1403.0,22.000,22.000,0.01599,0.01593,
2021-05-10,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,,27.000,27.000,60326,77603,-995.00,-9319.0,-0.01623,-0.10721,
2021-05-10,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,1.0000,1361.0,1410.0,144882,127605,8845.0,17169,0.06502,0.15547,
2021-05-10,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,,2.0000,2.0000,583.00,41.000,,,,,
2021-05-10,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,,4.0000,4.0000,3952.0,1662.0,,30.000,,0.01838,
2021-05-10,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,1.0000,59.000,56.000,12292,14582,101.00,71.000,0.00828,0.00489,
2021-05-10,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,1.0000,58.000,47.000,5223.0,5765.0,211.00,211.00,0.04210,0.03799,
2021-05-10,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,1.0000,2595.0,4057.0,114266,118832,14144,-8414.0,0.14127,-0.06612,
2021-05-10,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,1.0000,201.00,176.00,7529.0,8631.0,279.00,280.00,0.03848,0.03353,
2021-05-10,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,,4.0000,3.0000,1636.0,534.00,4.0000,3.0000,0.00245,0.00565,
2021-05-10,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,,58.000,42.000,80041,75475,-1305.0,21253,-0.01604,0.39196,
2021-05-10,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,,6.0000,6.0000,11677,13248,5.0000,4.0000,0.00043,0.00030,
2021-05-10,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,1.0000,279.00,312.00,33622,32051,185.00,186.00,0.00553,0.00584,
2021-05-10,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,C,1.0000,3.0000,4.0000,5.0000,5.0000,,,,,
2021-05-10,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,P,1.0000,3.0000,3.0000,10.000,10.000,,,,,
2021-05-10,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,,20.000,4.0000,6938.0,10310,-29.000,1314.0,-0.00416,0.14606,
2021-05-10,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,1.0000,273.00,337.00,7725.0,4353.0,811.00,-532.00,0.11730,-0.10890,
2021-05-10,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,1.0000,382.00,73.000,2563.0,16092,332.00,1214.0,0.14881,0.08160,
2021-05-10,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",C,1.0000,1.0000,1.0000,12.000,12.000,2.0000,2.0000,0.20000,0.20000,
2021-05-10,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,,8.0000,13.000,14797,1268.0,100.00,-782.00,0.00680,-0.38146,
2021-05-10,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,,,1.0000,6559.0,,,,,,
2021-05-10,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,1.0000,4.0000,3.0000,258.00,6817.0,,,,,
2021-05-10,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,,5.0000,17.000,9301.0,38.000,-620.00,25.000,-0.06249,1.9231,
2021-05-10,TATN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",P,1.0000,1.0000,,,23.000,,,,,
2021-05-10,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,1.0000,858.00,46.000,2202.0,11465,-6.0000,-651.00,-0.00272,-0.05373,
2021-05-10,TATN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",P,,,1.0000,23.000,,,,,,
2021-05-10,CHMF,"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",F,1.0000,84.000,146.00,986.00,239.00,75.000,17.000,0.08233,0.07658,
2021-05-10,CHMF,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",C,,1.0000,,,15.000,,,,,
2021-05-10,CHMF,"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",F,,8.0000,6.0000,19.000,766.00,-14.000,44.000,-0.42424,0.06094,
2021-05-10,CHMF,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",P,1.0000,2.0000,3.0000,5.0000,5.0000,,,,,
2021-05-10,CHMF,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",C,1.0000,,1.0000,15.000,,,,,,
2021-05-10,BR,Фьючерсный контракт на нефть BRENT,F,,58.000,51.000,501100,26843,24323,-4277.0,0.05102,-0.13744,
2021-05-10,BR,Опцион на Фьючерсный контракт на нефть BRENT,C,,8.0000,8.0000,3036.0,3485.0,465.00,375.00,0.18086,0.12058,
2021-05-10,BR,Опцион на Фьючерсный контракт на нефть BRENT,P,1.0000,446.00,194.00,19724,18281,1180.0,1094.0,0.06363,0.06365,
2021-05-10,BR,Опцион на Фьючерсный контракт на нефть BRENT,P,,7.0000,8.0000,3258.0,4701.0,-239.00,-153.00,-0.06834,-0.03152,
2021-05-10,BR,Фьючерсный контракт на нефть BRENT,F,1.0000,4404.0,4618.0,123254,597511,-12467,16133,-0.09186,0.02775,
2021-05-10,BR,Опцион на Фьючерсный контракт на нефть BRENT,C,1.0000,329.00,200.00,14034,13585,898.00,988.00,0.06836,0.07843,
2021-05-10,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,C,,,3.0000,262.00,,,,,,
2021-05-10,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,P,,2.0000,3.0000,5004.0,5001.0,,,,,
2021-05-10,Eu,Фьючерсный контракт на курс евро - российский рубль,F,,70.000,26.000,172387,173562,26968,-35508,0.18545,-0.16984,
2021-05-10,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,C,1.0000,12.000,19.000,618.00,880.00,6.0000,6.0000,0.00980,0.00686,
2021-05-10,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,P,1.0000,16.000,14.000,609.00,612.00,,,,,
2021-05-10,Eu,Фьючерсный контракт на курс евро - российский рубль,F,1.0000,3102.0,644.00,66853,65678,-28078,34398,-0.29577,1.0997,
2021-05-10,ED,Фьючерсный контракт на курс евро-доллар США,F,1.0000,629.00,1220.0,63819,18412,776.00,1740.0,0.01231,0.10437,
2021-05-10,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,P,,1.0000,,,1.0000,,,,,
2021-05-10,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,C,,,2.0000,224.00,,,,,,
2021-05-10,ED,Фьючерсный контракт на курс евро-доллар США,F,,28.000,19.000,22493,67900,-592.00,-1556.0,-0.02564,-0.02240,
2021-05-10,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,C,1.0000,23.000,11.000,162.00,386.00,,,,,
2021-05-10,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,P,1.0000,22.000,15.000,121.00,120.00,,,,,
2021-05-10,PLT,Опцион на Фьючерсный контракт на аффинированную платину в слитках,C,,2.0000,2.0000,82.000,82.000,,,,,
2021-05-10,PLT,Опцион на Фьючерсный контракт на аффинированную платину в слитках,C,1.0000,7.0000,7.0000,110.00,110.00,,,,,
2021-05-10,PLT,Фьючерсный контракт на аффинированную платину в слитках,F,1.0000,783.00,115.00,757.00,7598.0,62.000,87.000,0.08921,0.01158,
2021-05-10,PLT,Фьючерсный контракт на аффинированную платину в слитках,F,,28.000,9.0000,9555.0,2714.0,19.000,-6.0000,0.00199,-0.00221,
2021-05-10,PLD,Фьючерсный контракт на аффинированный палладий в слитках,F,1.0000,144.00,160.00,1076.0,1021.0,39.000,-76.000,0.03761,-0.06928,
2021-05-10,PLD,Фьючерсный контракт на аффинированный палладий в слитках,F,,7.0000,6.0000,180.00,235.00,-24.000,91.000,-0.11765,0.63194,
2021-05-10,SNGP,"Опцион на Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",P,1.0000,9.0000,14.000,79.000,1504.0,4.0000,4.0000,0.05333,0.00267,
2021-05-10,SNGP,"Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",F,,8.0000,7.0000,18650,3332.0,-59.000,294.00,-0.00315,0.09677,
2021-05-10,SNGP,"Опцион на Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",P,,,1.0000,1425.0,,,,,,
2021-05-10,SNGP,"Опцион на Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",C,1.0000,10.000,9.0000,686.00,686.00,,,,,
2021-05-10,SNGP,"Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",F,1.0000,304.00,66.000,848.00,16166,15.000,-338.00,0.01801,-0.02048,
2021-05-10,FEES,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""",P,,,1.0000,527.00,,,,,,
2021-05-10,FEES,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""",C,1.0000,2.0000,2.0000,5.0000,5.0000,,,,,
2021-05-10,FEES,"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""",F,,2.0000,3.0000,793.00,7.0000,-12.000,-3.0000,-0.01491,-0.30000,
2021-05-10,FEES,"Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""",F,1.0000,92.000,47.000,562.00,1348.0,-6.0000,-15.000,-0.01056,-0.01101,
2021-05-10,FEES,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ФСК ЕЭС""",P,1.0000,1.0000,1.0000,95.000,622.00,,,,,
2021-05-10,NLMK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",C,,3.0000,2.0000,7133.0,7598.0,,,,,
2021-05-10,NLMK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",C,1.0000,58.000,60.000,9879.0,9414.0,,,,,
2021-05-10,NLMK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",P,1.0000,8.0000,10.000,119.00,119.00,,,,,
2021-05-10,NLMK,"Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",F,1.0000,158.00,271.00,4771.0,1627.0,256.00,236.00,0.05670,0.16966,
2021-05-10,NLMK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",P,,1.0000,1.0000,63.000,63.000,,,,,
2021-05-10,NLMK,"Фьючерсный контракт на обыкновенные акции ПАО ""НЛМК""",F,,9.0000,8.0000,316.00,3460.0,-308.00,-288.00,-0.49359,-0.07684,
2021-05-10,SUGR,Фьючерсный контракт на сахар-сырец,F,1.0000,4.0000,1.0000,4.0000,4.0000,,,,,
2021-05-10,AUDU,Фьючерсный контракт на курс австралийский доллар-доллар США,F,,4.0000,1.0000,5.0000,1576.0,2.0000,7.0000,0.66667,0.00446,
2021-05-10,AUDU,Фьючерсный контракт на курс австралийский доллар-доллар США,F,1.0000,23.000,52.000,1995.0,424.00,200.00,195.00,0.11142,0.85153,
2021-05-10,GBPU,Фьючерсный контракт на курс фунт стерлингов-доллар США,F,1.0000,127.00,227.00,6263.0,3306.0,1999.0,-3188.0,0.46881,-0.49091,
2021-05-10,GBPU,Опцион на Фьючерсный контракт на курс фунт стерлингов-доллар США,P,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,
2021-05-10,GBPU,Фьючерсный контракт на курс фунт стерлингов-доллар США,F,,6.0000,4.0000,2393.0,5350.0,-1049.0,4138.0,-0.30476,3.4142,
2021-05-10,OFZ2,"Фьючерсный контракт на ""двухлетние"" облигации федерального займа",F,1.0000,3.0000,6.0000,233.00,20.000,,,,,
2021-05-10,OFZ2,"Фьючерсный контракт на ""двухлетние"" облигации федерального займа",F,,2.0000,1.0000,2677.0,2890.0,,,,,
2021-05-10,OFZ4,"Фьючерсный контракт на ""четырехлетние"" облигации федерального займа",F,,2.0000,1.0000,76.000,346.00,-20.000,,-0.20833,,
2021-05-10,OFZ4,"Фьючерсный контракт на ""четырехлетние"" облигации федерального займа",F,1.0000,9.0000,6.0000,325.00,55.000,20.000,,0.06557,,
2021-05-10,RTKM,"Фьючерсный контракт на обыкновенные акции ПАО ""Ростелеком""",F,,6.0000,7.0000,1262.0,394.00,19.000,-5.0000,0.01529,-0.01253,
2021-05-10,RTKM,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Ростелеком""",P,1.0000,1.0000,3.0000,6.0000,3.0000,,,,,
