moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-04-05,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1416.0,875.00,181357,326704,3687.0,13938,0.02075,0.04456,
2021-04-05,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,12835,9031.0,551090,533371,12966,-54259,0.02409,-0.09234,
2021-04-05,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,36.000,33.000,208978,63631,12456,2205.0,0.06338,0.03590,
2021-04-05,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,208.00,154.00,801219,818938,-54525,12700,-0.06372,0.01575,
2021-04-05,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1139.0,753.00,132308,213538,7230.0,7609.0,0.05780,0.03695,
2021-04-05,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,27.000,32.000,123358,42128,2956.0,2577.0,0.02455,0.06516,
2021-04-05,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,31.000,46.000,124557,13797,-12362,-2252.0,-0.09029,-0.14032,
2021-04-05,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,138.00,123.00,9656.0,9834.0,315.00,324.00,0.03372,0.03407,
2021-04-05,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,3.0000,5.0000,3584.0,48.000,-4.0000,6.0000,-0.00111,0.14286,
2021-04-05,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,3028.0,1057.0,30334,141094,5151.0,-4959.0,0.20454,-0.03395,
2021-04-05,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,6.0000,6.0000,4259.0,4081.0,128.00,119.00,0.03099,0.03004,
2021-04-05,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,64.000,70.000,2309.0,5845.0,51.000,41.000,0.02259,0.00706,
2021-04-05,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,8.0000,7.0000,4484.0,807.00,48.000,-533.00,0.01082,-0.39776,
2021-04-05,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,264.00,48.000,311.00,3988.0,-228.00,353.00,-0.42301,0.09711,
2021-04-05,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,615.00,,,,,,
2021-04-05,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,49.000,50.000,3259.0,3259.0,125.00,125.00,0.03989,0.03989,
2021-04-05,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,14.000,32.000,6052.0,6609.0,2298.0,-107.00,0.61215,-0.01593,
2021-04-05,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,6.0000,11.000,142.00,757.00,,,,,
2021-04-05,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,643.00,365.00,10323,9766.0,386.00,2791.0,0.03884,0.40014,
2021-04-05,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,2.0000,1620.0,1620.0,-2.0000,-2.0000,-0.00123,-0.00123,
2021-04-05,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,22.000,29.000,45438,41368,559.00,-329.00,0.01246,-0.00789,
2021-04-05,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1446.0,902.00,66891,65363,4769.0,4674.0,0.07677,0.07702,
2021-04-05,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,23.000,31.000,35381,36909,769.00,864.00,0.02222,0.02397,
2021-04-05,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,4455.0,4309.0,69591,61629,3983.0,1664.0,0.06071,0.02775,
2021-04-05,RTS,Фьючерсный контракт на Индекс РТС,F,,63.000,118.00,107586,115548,1140.0,3459.0,0.01071,0.03086,
2021-04-05,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,1374.0,846.00,58958,63028,5119.0,6007.0,0.09508,0.10535,
2021-04-05,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,4.0000,8.0000,543.00,206.00,32.000,32.000,0.06262,0.18391,
2021-04-05,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,75.000,19.000,84373,26176,-136.00,-2759.0,-0.00161,-0.09535,
2021-04-05,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,46.000,50.000,2117.0,2165.0,4.0000,4.0000,0.00189,0.00185,
2021-04-05,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,5569.0,1343.0,21499,79696,2591.0,5214.0,0.13703,0.07000,
2021-04-05,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,128.00,78.000,1329.0,1666.0,60.000,60.000,0.04728,0.03736,
2021-04-05,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,1.0000,2.0000,106.00,58.000,,,,,
2021-04-05,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,624.00,624.00,,,,,
2021-04-05,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,9.0000,9.0000,628.00,628.00,,,,,
2021-04-05,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,2.0000,5.0000,22.000,22.000,,,,,
2021-04-05,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,203.00,597.00,8959.0,3476.0,-364.00,428.00,-0.03904,0.14042,
2021-04-05,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,10.000,16.000,4507.0,9990.0,798.00,6.0000,0.21515,0.00060,
2021-04-05,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,2.0000,3.0000,369.00,352.00,,,,,
2021-04-05,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,8.0000,2.0000,6296.0,867.00,47.000,,0.00752,,
2021-04-05,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,397.00,33.000,331.00,5760.0,-38.000,9.0000,-0.10298,0.00156,
2021-04-05,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,5.0000,13.000,83.000,241.00,,,,,
2021-04-05,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,,1.0000,158.00,,,,,,
2021-04-05,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,9.0000,10.000,556.00,573.00,5.0000,5.0000,0.00907,0.00880,
2021-04-05,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,55.000,54.000,547.00,431.00,-21.000,-2.0000,-0.03697,-0.00462,
2021-04-05,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,4.0000,2.0000,16.000,132.00,6.0000,-13.000,0.60000,-0.08966,
2021-04-05,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,24.000,9.0000,23.000,67.000,2.0000,2.0000,0.09524,0.03077,
2021-04-05,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,,4.0000,44.000,,,,,,
2021-04-05,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,1.0000,1.0000,2.0000,14.000,,2.0000,,0.16667,
2021-04-05,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,2.0000,2.0000,114.00,3.0000,2.0000,,0.01786,,
2021-04-05,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,29.000,10.000,224327,26826,27479,17736,0.13960,1.9512,
2021-04-05,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,5169.0,681.00,16606,214107,-13.000,9730.0,-0.00078,0.04761,
2021-04-05,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,45.000,35.000,854.00,842.00,-4.0000,-6.0000,-0.00466,-0.00708,
2021-04-05,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,71.000,41.000,1223.0,1334.0,-3.0000,-1.0000,-0.00245,-0.00075,
2021-04-05,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,,2.0000,2.0000,650.00,154.00,8.0000,74.000,0.01246,0.92500,
2021-04-05,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,,28.000,14.000,128459,24572,-2159.0,2863.0,-0.01653,0.13188,
2021-04-05,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,1.0000,1052.0,1208.0,66538,170425,12246,7224.0,0.22556,0.04426,
2021-04-05,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,1.0000,49.000,36.000,1812.0,2308.0,445.00,379.00,0.32553,0.19647,
2021-04-05,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,1.0000,47.000,45.000,8779.0,7574.0,1362.0,1270.0,0.18363,0.20146,
2021-04-05,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,,4.0000,3.0000,835.00,2040.0,,92.000,,0.04723,
2021-04-05,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,1.0000,3690.0,2062.0,62720,125244,10658,-10971,0.20472,-0.08054,
2021-04-05,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,1.0000,127.00,214.00,10300,6517.0,200.00,183.00,0.01980,0.02889,
2021-04-05,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,,5.0000,4.0000,1529.0,5312.0,13.000,30.000,0.00858,0.00568,
2021-04-05,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,,42.000,51.000,92469,29945,-22094,-465.00,-0.19285,-0.01529,
2021-04-05,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,,7.0000,5.0000,11288,11570,-376.00,-393.00,-0.03224,-0.03285,
2021-04-05,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,1.0000,256.00,277.00,26015,25733,976.00,993.00,0.03898,0.04014,
2021-04-05,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,C,1.0000,2.0000,3.0000,4.0000,4.0000,,,,,
2021-04-05,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,P,1.0000,2.0000,1.0000,8.0000,8.0000,,,,,
2021-04-05,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,1.0000,253.00,203.00,4952.0,4656.0,161.00,-376.00,0.03360,-0.07472,
2021-04-05,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,,7.0000,14.000,8780.0,9076.0,-625.00,-88.000,-0.06645,-0.00960,
2021-04-05,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,,,1.0000,6559.0,,,,,,
2021-04-05,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,,4.0000,12.000,9141.0,105.00,253.00,-93.000,0.02847,-0.46970,
2021-04-05,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,1.0000,4.0000,3.0000,258.00,6817.0,,,,,
2021-04-05,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,1.0000,205.00,71.000,1205.0,10241,96.000,442.00,0.08656,0.04511,
2021-04-05,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,,7.0000,6.0000,2024.0,1444.0,110.00,-317.00,0.05747,-0.18001,
2021-04-05,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,1.0000,208.00,60.000,3156.0,3736.0,-105.00,322.00,-0.03220,0.09432,
2021-04-05,TATN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",P,1.0000,1.0000,,,14.000,,,,,
2021-04-05,TATN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",P,,,1.0000,14.000,,,,,,
2021-04-05,CHMF,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",C,1.0000,,1.0000,17.000,,,,,,
2021-04-05,CHMF,"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",F,1.0000,62.000,94.000,500.00,127.00,-14.000,3.0000,-0.02724,0.02419,
2021-04-05,CHMF,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",C,,1.0000,,,17.000,,,,,
2021-04-05,CHMF,"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",F,,4.0000,2.0000,45.000,418.00,,-17.000,,-0.03908,
2021-04-05,BR,Фьючерсный контракт на нефть BRENT,F,1.0000,5713.0,4027.0,104622,641779,-43335,76036,-0.29289,0.13440,
2021-04-05,BR,Опцион на Фьючерсный контракт на нефть BRENT,C,1.0000,501.00,185.00,18413,27267,646.00,2216.0,0.03636,0.08846,
2021-04-05,BR,Опцион на Фьючерсный контракт на нефть BRENT,P,,13.000,15.000,5581.0,4709.0,-528.00,1137.0,-0.08643,0.31831,
2021-04-05,BR,Опцион на Фьючерсный контракт на нефть BRENT,P,1.0000,505.00,202.00,15362,16234,1965.0,300.00,0.14667,0.01883,
2021-04-05,BR,Опцион на Фьючерсный контракт на нефть BRENT,C,,10.000,9.0000,13427,4573.0,1926.0,356.00,0.16746,0.08442,
2021-04-05,BR,Фьючерсный контракт на нефть BRENT,F,,46.000,53.000,555089,17932,119305,-66.000,0.27377,-0.00367,
2021-04-05,Eu,Фьючерсный контракт на курс евро - российский рубль,F,,56.000,33.000,103072,103101,-7828.0,12987,-0.07059,0.14412,
2021-04-05,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,P,,2.0000,1.0000,5001.0,5001.0,,,,,
2021-04-05,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,C,,,2.0000,256.00,,6.0000,,0.02400,,
2021-04-05,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,C,1.0000,10.000,15.000,585.00,841.00,20.000,26.000,0.03540,0.03190,
2021-04-05,Eu,Опцион на Фьючерсный контракт на курс евро - российский рубль,P,1.0000,10.000,9.0000,561.00,561.00,,,,,
2021-04-05,Eu,Фьючерсный контракт на курс евро - российский рубль,F,1.0000,1771.0,777.00,46789,46760,2086.0,-18729,0.04666,-0.28599,
2021-04-05,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,P,,1.0000,,,1.0000,,,,,
2021-04-05,ED,Фьючерсный контракт на курс евро-доллар США,F,1.0000,1124.0,665.00,26762,54590,5156.0,-10792,0.23864,-0.16506,
2021-04-05,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,C,1.0000,18.000,7.0000,81.000,193.00,,1.0000,,0.00521,
2021-04-05,ED,Фьючерсный контракт на курс евро-доллар США,F,,30.000,16.000,43472,15644,-14030,1918.0,-0.24399,0.13973,
2021-04-05,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,C,,,2.0000,112.00,,1.0000,,0.00901,,
2021-04-05,ED,Опцион на Фьючерсный контракт на курс евро-доллар США,P,1.0000,9.0000,7.0000,40.000,39.000,,,,,
2021-04-05,PLT,Опцион на Фьючерсный контракт на аффинированную платину в слитках,C,,1.0000,1.0000,59.000,59.000,,,,,
2021-04-05,PLT,Фьючерсный контракт на аффинированную платину в слитках,F,1.0000,857.00,90.000,915.00,9213.0,69.000,161.00,0.08156,0.01779,
2021-04-05,PLT,Опцион на Фьючерсный контракт на аффинированную платину в слитках,C,1.0000,5.0000,5.0000,87.000,87.000,,,,,
2021-04-05,PLT,Фьючерсный контракт на аффинированную платину в слитках,F,,17.000,9.0000,10948,2650.0,110.00,18.000,0.01015,0.00684,
2021-04-05,PLD,Фьючерсный контракт на аффинированный палладий в слитках,F,1.0000,149.00,142.00,981.00,805.00,15.000,7.0000,0.01553,0.00877,
2021-04-05,PLD,Фьючерсный контракт на аффинированный палладий в слитках,F,,4.0000,4.0000,71.000,247.00,-20.000,-12.000,-0.21978,-0.04633,
2021-04-05,SNGP,"Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",F,1.0000,376.00,62.000,551.00,17929,115.00,-184.00,0.26376,-0.01016,
2021-04-05,SNGP,"Опцион на Фьючерсный контракт на привилегированные акции ПАО ""Сургутнефтегаз""",P,,,1.0000,1425.0,,,,,,
