moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-05-14,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,11052,2367.0,145239,514122,-2094.0,7700.0,-0.01421,0.01520,
2020-05-14,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,978.00,427.00,182056,168424,-7254.0,-3098.0,-0.03832,-0.01806,
2020-05-14,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,40.000,30.000,268882,100491,-9348.0,-9022.0,-0.03360,-0.08238,
2020-05-14,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,22.000,22.000,131708,145340,-759.00,-4915.0,-0.00573,-0.03271,
2020-05-14,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,250.00,81.000,859184,490301,69959,60165,0.08864,0.13987,
2020-05-14,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1454.0,552.00,150676,319067,-10447,-10773,-0.06484,-0.03266,
2020-05-14,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,103.00,91.000,4850.0,6338.0,163.00,169.00,0.03478,0.02740,
2020-05-14,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,4.0000,5.0000,1695.0,124.00,1200.0,6.0000,2.4242,0.05085,
2020-05-14,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,98.000,59.000,2250.0,3821.0,301.00,1495.0,0.15444,0.64273,
2020-05-14,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,1631.0,1033.0,25008,62425,3808.0,1942.0,0.17962,0.03211,
2020-05-14,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,66.000,37.000,53174,15757,-173.00,1693.0,-0.00324,0.12038,
2020-05-14,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,4.0000,8.0000,2836.0,1348.0,6.0000,,0.00212,,
2020-05-14,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,178.00,136.00,3155.0,5095.0,845.00,2576.0,0.36580,1.0226,
2020-05-14,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,
2020-05-14,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,3.0000,2.0000,58.000,58.000,,,,,
2020-05-14,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,7.0000,13.000,2360.0,420.00,1588.0,-143.00,2.0570,-0.25400,
2020-05-14,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,3.0000,3.0000,2160.0,698.00,,,,,
2020-05-14,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,25.000,21.000,8835.0,7641.0,-313.00,295.00,-0.03422,0.04016,
