moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-10-28,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,12904,7591.0,343034,821607,80679,-123726,0.30752,-0.13088,
2020-10-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1114.0,728.00,183001,211198,26813,38164,0.17167,0.22056,
2020-10-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1348.0,951.00,278230,334454,11872,21672,0.04457,0.06929,
2020-10-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,46.000,34.000,182127,125903,22414,12614,0.14034,0.11134,
2020-10-28,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,24.000,37.000,69791,41594,15443,4092.0,0.28415,0.10911,
2020-10-28,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,257.00,131.00,1272026,793453,-104558,99847,-0.07595,0.14395,
2020-10-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,145.00,95.000,4963.0,5104.0,554.00,458.00,0.12565,0.09858,
2020-10-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,70.000,90.000,2497.0,3418.0,67.000,-57.000,0.02757,-0.01640,
2020-10-28,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,37.000,48.000,134016,17981,-10479,1343.0,-0.07252,0.08072,
2020-10-28,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,3483.0,1239.0,52140,168175,3033.0,-8789.0,0.06176,-0.04967,
2020-10-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,2.0000,4.0000,969.00,48.000,-122.00,2.0000,-0.11182,0.04348,
2020-10-28,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,5.0000,7.0000,346.00,205.00,22.000,118.00,0.06790,1.3563,
2020-10-28,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,2.0000,1.0000,6.0000,6.0000,,,,,
2020-10-28,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,203.00,57.000,527.00,5977.0,-305.00,-863.00,-0.36659,-0.12617,
2020-10-28,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,2.0000,2.0000,9.0000,9.0000,,,,,
2020-10-28,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,10.000,13.000,6326.0,876.00,-2637.0,-2079.0,-0.29421,-0.70355,
2020-10-28,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,1353.0,232.00,4026.0,37366,-45.000,-2119.0,-0.01105,-0.05367,
2020-10-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,3.0000,1385.0,1363.0,,,,,
2020-10-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,9.0000,14.000,144.00,704.00,1.0000,1.0000,0.00699,0.00142,
2020-10-28,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,56.000,27.000,38468,5128.0,-2239.0,-165.00,-0.05500,-0.03117,
2020-10-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,55.000,53.000,2252.0,2274.0,13.000,13.000,0.00581,0.00575,
2020-10-28,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,560.00,,,,,,
2020-10-28,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,,1.0000,2.0000,25.000,24.000,,,,,
2020-10-28,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,,,1.0000,1.0000,,,,,,
2020-10-28,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,,10.000,20.000,12030,6251.0,-128.00,-458.00,-0.01053,-0.06827,
2020-10-28,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,1.0000,7.0000,6.0000,66.000,67.000,,,,,
2020-10-28,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,1.0000,3.0000,5.0000,37.000,38.000,,,,,
2020-10-28,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,1.0000,501.00,120.00,781.00,6560.0,-100.00,230.00,-0.11351,0.03633,
2020-10-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,41.000,29.000,34416,27266,-91.000,1550.0,-0.00264,0.06027,
2020-10-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,1488.0,786.00,67210,81488,14958,20159,0.28627,0.32870,
2020-10-28,RTS,Фьючерсный контракт на Индекс РТС,F,,92.000,108.00,186779,139756,24700,-5559.0,0.15239,-0.03825,
2020-10-28,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,6005.0,3131.0,58093,105116,-11515,18744,-0.16543,0.21701,
2020-10-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1143.0,857.00,65224,72374,5783.0,4142.0,0.09729,0.06070,
2020-10-28,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,26.000,45.000,49484,35206,10242,5041.0,0.26100,0.16711,
2020-10-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,1.0000,3.0000,93.000,352.00,,,,,
2020-10-28,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,3879.0,1692.0,14767,67848,1097.0,-1189.0,0.08025,-0.01722,
2020-10-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,2.0000,5.0000,821.00,376.00,,,,,
2020-10-28,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,82.000,35.000,77787,24706,201.00,2487.0,0.00259,0.11193,
2020-10-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,94.000,54.000,1870.0,1611.0,-15.000,-15.000,-0.00796,-0.00923,
2020-10-28,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,60.000,61.000,1671.0,2116.0,84.000,84.000,0.05293,0.04134,
2020-10-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,447.00,447.00,,,,,
2020-10-28,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,240.00,173.00,3199.0,1967.0,-89.000,232.00,-0.02707,0.13372,
2020-10-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,2.0000,2.0000,51.000,51.000,,,,,
2020-10-28,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,6.0000,6.0000,448.00,448.00,,,,,
2020-10-28,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,16.000,11.000,1901.0,3133.0,485.00,164.00,0.34251,0.05524,
2020-10-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,5.0000,6.0000,177.00,192.00,1.0000,1.0000,0.00568,0.00524,
2020-10-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,,1.0000,4734.0,,,,,,
2020-10-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,5.0000,11.000,805.00,5539.0,,,,,
2020-10-28,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,3.0000,17.000,5172.0,19.000,501.00,-10.000,0.10726,-0.34483,
2020-10-28,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,1.0000,2.0000,190.00,175.00,,,,,
2020-10-28,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,159.00,54.000,314.00,5467.0,35.000,546.00,0.12545,0.11095,
2020-10-28,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,99.000,30.000,146.00,572.00,18.000,44.000,0.14063,0.08333,
2020-10-28,NOTK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",P,1.0000,2.0000,5.0000,16.000,116.00,,,,,
2020-10-28,NOTK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",P,,,1.0000,100.00,,,,,,
2020-10-28,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,,7.0000,426.00,,26.000,,0.06500,,
2020-10-28,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,3.0000,5.0000,49.000,27.000,-3.0000,-1.0000,-0.05769,-0.03571,
2020-10-28,TRNF,"Опцион на Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",C,1.0000,1.0000,1.0000,6.0000,6.0000,,,,,
2020-10-28,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,35.000,11.000,76.000,98.000,-3.0000,-5.0000,-0.03797,-0.04854,
2020-10-28,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,2.0000,1.0000,1.0000,8.0000,,,,,
2020-10-28,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,1.0000,2.0000,106.00,1.0000,,,,,
2020-10-28,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,44.000,31.000,844.00,837.00,-6.0000,-6.0000,-0.00706,-0.00712,
2020-10-28,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,4215.0,1333.0,54869,153123,16380,4576.0,0.42558,0.03081,
2020-10-28,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,36.000,36.000,660.00,765.00,16.000,16.000,0.02484,0.02136,
2020-10-28,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,28.000,16.000,152881,54627,-13917,-2113.0,-0.08344,-0.03724,
2020-10-28,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,1.0000,48.000,45.000,1638.0,2094.0,165.00,165.00,0.11202,0.08554,
2020-10-28,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,,1.0000,1.0000,2.0000,38.000,,,,,
2020-10-28,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,,22.000,35.000,127207,9707.0,4265.0,-172.00,0.03469,-0.01741,
2020-10-28,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,1.0000,1630.0,486.00,22379,139879,380.00,4817.0,0.01727,0.03567,
2020-10-28,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,1.0000,27.000,25.000,559.00,523.00,2.0000,2.0000,0.00359,0.00384,
2020-10-28,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,,2.0000,3.0000,655.00,199.00,,,,,
2020-10-28,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,1.0000,220.00,193.00,14955,15141,166.00,136.00,0.01122,0.00906,
2020-10-28,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,1.0000,94.000,104.00,5150.0,8235.0,-1583.0,-1775.0,-0.23511,-0.17732,
2020-10-28,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,1.0000,3586.0,1384.0,38783,157446,-2137.0,-285.00,-0.05222,-0.00181,
2020-10-28,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,,6.0000,6.0000,4363.0,4177.0,96.000,126.00,0.02250,0.03110,
2020-10-28,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,,39.000,58.000,154399,35736,4435.0,2583.0,0.02957,0.07791,
2020-10-28,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,,3.0000,4.0000,3194.0,109.00,-204.00,-12.000,-0.06004,-0.09917,
2020-10-28,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,1.0000,301.00,207.00,14557,5785.0,-1065.0,-27.000,-0.06817,-0.00465,
2020-10-28,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,C,1.0000,12.000,8.0000,57.000,57.000,,,,,
2020-10-28,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,,21.000,19.000,34716,43488,1869.0,831.00,0.05690,0.01948,
2020-10-28,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,P,1.0000,11.000,11.000,179.00,179.00,,,,,
2020-10-28,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,1.0000,219.00,77.000,1918.0,6250.0,167.00,345.00,0.09537,0.05843,
2020-10-28,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,1.0000,1.0000,2.0000,3.0000,2.0000,,,,,
2020-10-28,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",C,,,1.0000,1.0000,,,,,,
2020-10-28,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,,11.000,12.000,5465.0,1133.0,158.00,-20.000,0.02977,-0.01735,
2020-10-28,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,,1.0000,,,1.0000,,,,,
2020-10-28,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",C,1.0000,1.0000,1.0000,1.0000,2.0000,,,,,
2020-10-28,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,1.0000,472.00,67.000,325.00,9294.0,-35.000,310.00,-0.09722,0.03451,
2020-10-28,TATN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",C,1.0000,2.0000,2.0000,7.0000,7.0000,,,,,
