moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-02-04,ALRS,"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",F,1.0000,214.00,245.00,7252.0,3514.0,-258.00,210.00,-0.03435,0.06356,
2021-02-04,ALRS,"Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",F,,10.000,9.0000,1108.0,4846.0,160.00,-308.00,0.16878,-0.05976,
2021-02-04,ALRS,"Опцион на Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",C,,2.0000,2.0000,299.00,299.00,,,,,
2021-02-04,ALRS,"Опцион на Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",C,1.0000,5.0000,6.0000,304.00,304.00,,,,,
2021-02-04,ALRS,"Опцион на Фьючерсный контракт на обыкновенные акции АК ""АЛРОСА"" (ПАО)",P,,2.0000,3.0000,2815.0,2731.0,,,,,
2021-02-04,AFLT,"Опцион на Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""",P,,,1.0000,3239.0,,,,,,
2021-02-04,AFLT,"Опцион на Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""",C,1.0000,13.000,12.000,46.000,46.000,,,,,
2021-02-04,AFLT,"Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""",F,,14.000,16.000,24182,9317.0,-176.00,280.00,-0.00723,0.03098,
2021-02-04,AFLT,"Опцион на Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""",P,1.0000,11.000,11.000,76.000,3315.0,21.000,21.000,0.38182,0.00638,
2021-02-04,AFLT,"Фьючерсный контракт на  обыкновенные акции ПАО ""Аэрофлот""",F,1.0000,689.00,317.00,23046,37911,841.00,385.00,0.03787,0.01026,
2021-02-04,CL,Опцион на Фьючерсный контракт на нефть Light Sweet Crude Oil,P,1.0000,1.0000,1.0000,120.00,120.00,30.000,30.000,0.33333,0.33333,
2021-02-04,CL,Фьючерсный контракт на нефть Light Sweet Crude Oil,F,1.0000,8.0000,15.000,134.00,582.00,-176.00,25.000,-0.56774,0.04488,
2021-02-04,CL,Фьючерсный контракт на нефть Light Sweet Crude Oil,F,,1.0000,3.0000,495.00,47.000,148.00,-53.000,0.42651,-0.53000,
