moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-04-06,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1401.0,902.00,189048,348394,7691.0,21690,0.04241,0.06639,
2021-04-06,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,14413,9646.0,610729,664088,59639,130717,0.10822,0.24508,
2021-04-06,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,37.000,36.000,226758,67412,17780,3781.0,0.08508,0.05942,
2021-04-06,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,247.00,138.00,867571,814212,66352,-4726.0,0.08281,-0.00577,
2021-04-06,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1216.0,762.00,139332,228273,7024.0,14735,0.05309,0.06900,
2021-04-06,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,27.000,35.000,132839,43898,9481.0,1770.0,0.07686,0.04201,
2021-04-06,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,38.000,42.000,129419,15454,4862.0,1657.0,0.03903,0.12010,
2021-04-06,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,146.00,129.00,10227,10406,571.00,572.00,0.05913,0.05817,
2021-04-06,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,3.0000,5.0000,3585.0,53.000,1.0000,5.0000,0.00028,0.10417,
2021-04-06,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2805.0,1139.0,28367,142332,-1967.0,1238.0,-0.06484,0.00877,
2021-04-06,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,6.0000,6.0000,4698.0,4519.0,439.00,438.00,0.10308,0.10733,
2021-04-06,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,62.000,73.000,2880.0,6412.0,571.00,567.00,0.24729,0.09701,
2021-04-06,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,9.0000,7.0000,4643.0,424.00,159.00,-383.00,0.03546,-0.47460,
2021-04-06,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,277.00,51.000,331.00,4550.0,20.000,562.00,0.06431,0.14092,
