moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-11-12,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,251.00,141.00,1392309,691370,47941,8420.0,0.03566,0.01233,
2020-11-12,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,25.000,34.000,152608,85576,-1523.0,-1854.0,-0.00988,-0.02121,
2020-11-12,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,44.000,28.000,238351,149836,-7034.0,-3128.0,-0.02867,-0.02045,
2020-11-12,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,988.00,663.00,174303,241335,-25420,-25089,-0.12728,-0.09417,
2020-11-12,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,17630,4635.0,207526,908465,-9756.0,29765,-0.04490,0.03387,
2020-11-12,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1633.0,796.00,295117,383632,-26260,-30166,-0.08171,-0.07290,
2020-11-12,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,44.000,34.000,106361,15002,477.00,2868.0,0.00450,0.23636,
2020-11-12,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,5.0000,9.0000,870.00,548.00,23.000,5.0000,0.02715,0.00921,
2020-11-12,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,120.00,107.00,6112.0,6434.0,194.00,212.00,0.03278,0.03407,
2020-11-12,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,2.0000,4.0000,1175.0,142.00,,20.000,,0.16393,
2020-11-12,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,101.00,94.000,3771.0,4804.0,101.00,81.000,0.02752,0.01715,
2020-11-12,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2216.0,953.00,36585,127944,12618,10227,0.52647,0.08688,
2020-11-12,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,143.00,60.000,724.00,3970.0,-52.000,92.000,-0.06701,0.02372,
2020-11-12,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,2.0000,1.0000,6.0000,6.0000,,,,,
2020-11-12,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,2.0000,2.0000,9.0000,9.0000,,,,,
2020-11-12,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,9.0000,10.000,6280.0,3034.0,-609.00,-753.00,-0.08840,-0.19884,
2020-11-12,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,58.000,21.000,10744,5362.0,-737.00,-585.00,-0.06419,-0.09837,
2020-11-12,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,3.0000,1956.0,1859.0,209.00,209.00,0.11963,0.12667,
2020-11-12,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,571.00,,,,,,
