moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-05-21,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,3.0000,7.0000,279.00,212.00,68.000,-16.000,0.32227,-0.07018,
2020-05-21,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,44.000,58.000,169.00,236.00,-46.000,38.000,-0.21395,0.19192,
2020-05-21,NOTK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",P,1.0000,1.0000,2.0000,7.0000,7.0000,,,,,
2020-05-21,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,42.000,14.000,32.000,164.00,1.0000,-3.0000,0.03226,-0.01796,
2020-05-21,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,2.0000,5.0000,185.00,53.000,-3.0000,1.0000,-0.01596,0.01923,
2020-05-21,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,15.000,11.000,53.000,52.000,5.0000,5.0000,0.10417,0.10638,
2020-05-21,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,14.000,15.000,193.00,194.00,,,,,
2020-05-21,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,18.000,7.0000,275380,224320,11821,10053,0.04485,0.04692,
2020-05-21,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,1.0000,,,1.0000,,,,,
2020-05-21,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,,1.0000,1.0000,,,,,,
2020-05-21,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,1827.0,539.00,12854,63914,-1036.0,732.00,-0.07459,0.01159,
2020-05-21,MOPR,Фьючерсный контракт на ставку MosPrime,F,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,
2020-05-21,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,,3.0000,3.0000,7629.0,984.00,,,,,
