moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-12-11,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,2003.0,926.00,343211,441024,17695,14833,0.05436,0.03480,
2020-12-11,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,15843,8066.0,279777,833147,-128341,4691.0,-0.31447,0.00566,
2020-12-11,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,22.000,31.000,139623,88413,2703.0,2242.0,0.01974,0.02602,
2020-12-11,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,230.00,163.00,1328347,774977,21680,-111352,0.01659,-0.12563,
2020-12-11,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1022.0,757.00,183035,234245,10774,11235,0.06254,0.05038,
2020-12-11,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,43.000,35.000,240832,143019,4286.0,7148.0,0.01812,0.05261,
2020-12-11,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,124.00,110.00,5082.0,5766.0,605.00,606.00,0.13514,0.11744,
2020-12-11,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2644.0,1193.0,31733,139888,8139.0,13146,0.34496,0.10372,
2020-12-11,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,9.0000,8.0000,2405.0,1783.0,-2.0000,56.000,-0.00083,0.03243,
2020-12-11,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,119.00,108.00,8431.0,9053.0,569.00,511.00,0.07237,0.05982,
2020-12-11,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,4.0000,8.0000,928.00,244.00,1.0000,,0.00108,,
2020-12-11,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,54.000,39.000,132776,24621,3175.0,-1832.0,0.02450,-0.06925,
2020-12-11,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,2.0000,1.0000,6.0000,6.0000,,,,,
2020-12-11,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,2.0000,2.0000,9.0000,9.0000,,,,,
2020-12-11,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,253.00,42.000,348.00,7008.0,-30.000,-1.0000,-0.07937,-0.00014,
2020-12-11,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,7.0000,15.000,10320,3660.0,76.000,47.000,0.00742,0.01301,
2020-12-11,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,4.0000,5.0000,3969.0,2839.0,321.00,1.0000,0.08799,0.00035,
2020-12-11,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,58.000,24.000,20383,5072.0,-984.00,694.00,-0.04605,0.15852,
2020-12-11,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,2.0000,3.0000,634.00,63.000,1.0000,,0.00158,,
2020-12-11,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,96.000,99.000,6090.0,7220.0,82.000,402.00,0.01365,0.05896,
2020-12-11,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,608.00,441.00,7133.0,22444,816.00,-862.00,0.12918,-0.03699,
2020-12-11,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,10.000,18.000,283.00,854.00,2.0000,3.0000,0.00712,0.00353,
2020-12-11,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,1.0000,3.0000,6.0000,117.00,118.00,,,,,
2020-12-11,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,1.0000,211.00,226.00,1179.0,1735.0,-287.00,-211.00,-0.19577,-0.10843,
2020-12-11,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,,1.0000,2.0000,25.000,24.000,,,,,
2020-12-11,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,1.0000,8.0000,7.0000,77.000,78.000,-1.0000,-1.0000,-0.01282,-0.01266,
