moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-09-08,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,292.00,128.00,1263555,750827,6890.0,63510,0.00548,0.09240,
2020-09-08,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,29.000,30.000,71741,41712,17547,7361.0,0.32378,0.21429,
2020-09-08,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1653.0,846.00,234529,427984,4296.0,8056.0,0.01866,0.01918,
2020-09-08,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1094.0,644.00,166236,196265,6557.0,16743,0.04106,0.09326,
2020-09-08,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,13394,6131.0,287537,800265,51131,-5489.0,0.21628,-0.00681,
2020-09-08,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,48.000,34.000,311804,118349,22556,18796,0.07798,0.18880,
2020-09-08,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,64.000,98.000,2555.0,3538.0,295.00,294.00,0.13053,0.09063,
2020-09-08,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,98.000,83.000,5467.0,5496.0,-128.00,-127.00,-0.02288,-0.02259,
2020-09-08,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,35.000,44.000,115509,38370,2380.0,14605,0.02104,0.61456,
2020-09-08,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,2.0000,3.0000,1001.0,18.000,-1.0000,,-0.00100,,
2020-09-08,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2194.0,1167.0,42329,119468,4266.0,-7959.0,0.11208,-0.06246,
2020-09-08,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,4.0000,7.0000,356.00,327.00,,-1.0000,,-0.00305,
2020-09-08,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,,,1.0000,49.000,,,,,,
2020-09-08,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,14.000,12.000,7647.0,2148.0,-108.00,1306.0,-0.01393,1.5511,
2020-09-08,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,31.000,6.0000,3481.0,3481.0,,,,,
2020-09-08,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,216.00,66.000,390.00,5889.0,-8.0000,-1422.0,-0.02010,-0.19450,
2020-09-08,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,2.0000,2.0000,8.0000,57.000,,,,,
2020-09-08,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,3.0000,10.000,15.000,71.000,4.0000,4.0000,0.36364,0.05970,
2020-09-08,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,875.00,229.00,6006.0,21424,275.00,647.00,0.04798,0.03114,
2020-09-08,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,62.000,25.000,22704,7286.0,871.00,499.00,0.03989,0.07352,
2020-09-08,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,4.0000,4.0000,2908.0,906.00,6.0000,6.0000,0.00207,0.00667,
2020-09-08,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,33.000,37.000,1247.0,3249.0,6.0000,6.0000,0.00483,0.00185,
2020-09-08,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,1.0000,1.0000,58.000,2.0000,,,,,
2020-09-08,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,1.0000,8.0000,6.0000,54.000,55.000,,,,,
2020-09-08,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,,21.000,21.000,12431,6765.0,45.000,137.00,0.00363,0.02067,
2020-09-08,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,,1.0000,3.0000,2109.0,2010.0,,,,,
2020-09-08,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,1.0000,473.00,171.00,740.00,6406.0,24.000,-68.000,0.03352,-0.01050,
2020-09-08,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,1.0000,5.0000,11.000,42.000,141.00,,,,,
