moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-06-11,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,118.00,73.000,1858.0,1838.0,-14.000,-17.000,-0.00748,-0.00916,
2020-06-11,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,215.00,241.00,5189.0,3353.0,-923.00,105.00,-0.15101,0.03233,
2020-06-11,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,187.00,187.00,,,,,
2020-06-11,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,19.000,16.000,6673.0,8509.0,722.00,-306.00,0.12132,-0.03471,
2020-06-11,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,2.0000,2.0000,2.0000,2.0000,,,,,
2020-06-11,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,6.0000,6.0000,189.00,189.00,1.0000,1.0000,0.00532,0.00532,
2020-06-11,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,,1.0000,1680.0,,,,,,
2020-06-11,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,3.0000,3.0000,23.000,68.000,,,,,
2020-06-11,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,5.0000,6.0000,304.00,1984.0,,,,,
2020-06-11,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,123.00,51.000,506.00,1588.0,27.000,-12.000,0.05637,-0.00750,
2020-06-11,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,,1.0000,45.000,,,,,,
2020-06-11,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,8.0000,4.0000,1489.0,407.00,3.0000,42.000,0.00202,0.11507,
2020-06-11,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,4.0000,8.0000,409.00,160.00,-3.0000,1.0000,-0.00728,0.00629,
2020-06-11,NOTK,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",P,1.0000,1.0000,2.0000,7.0000,7.0000,,,,,
2020-06-11,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,64.000,40.000,120.00,369.00,2.0000,-2.0000,0.01695,-0.00539,
2020-06-11,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,3.0000,6.0000,208.00,83.000,2.0000,-1.0000,0.00971,-0.01190,
2020-06-11,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,54.000,8.0000,27.000,152.00,-1.0000,2.0000,-0.03571,0.01333,
2020-06-11,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,17.000,12.000,76933,28515,-9254.0,-358.00,-0.10737,-0.01240,
2020-06-11,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,19.000,12.000,58.000,57.000,1.0000,1.0000,0.01754,0.01786,
2020-06-11,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,,1.0000,1.0000,,,,,,
2020-06-11,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,1728.0,416.00,15078,63496,639.00,-8257.0,0.04426,-0.11508,
2020-06-11,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,16.000,19.000,267.00,268.00,-4.0000,-4.0000,-0.01476,-0.01471,
2020-06-11,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,1.0000,,,1.0000,,,,,
2020-06-11,MOPR,Фьючерсный контракт на ставку MosPrime,F,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,
2020-06-11,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,1.0000,52.000,33.000,1445.0,6760.0,349.00,349.00,0.31843,0.05444,
2020-06-11,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,1.0000,57.000,45.000,9808.0,15788,440.00,440.00,0.04697,0.02867,
2020-06-11,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,,27.000,18.000,88419,24833,10961,3585.0,0.14151,0.16872,
2020-06-11,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,,1.0000,2.0000,5317.0,2.0000,,,,,
2020-06-11,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,1.0000,1243.0,658.00,19611,83197,-9290.0,-1914.0,-0.32144,-0.02249,
2020-06-11,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),C,,4.0000,4.0000,7631.0,1651.0,,,,,
2020-06-11,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,1.0000,214.00,160.00,12026,13962,247.00,280.00,0.02097,0.02046,
2020-06-11,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,,35.000,62.000,81079,55490,5192.0,397.00,0.06842,0.00721,
2020-06-11,SBRF,Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,F,1.0000,2304.0,2331.0,49686,75275,-6878.0,-2083.0,-0.12160,-0.02693,
2020-06-11,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,1.0000,189.00,169.00,7133.0,7636.0,380.00,347.00,0.05627,0.04761,
2020-06-11,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,C,,5.0000,9.0000,1782.0,1279.0,26.000,59.000,0.01481,0.04836,
2020-06-11,SBRF,Опцион на Фьючерсный контракт на обыкновенные акции ПАО Сбербанк,P,,3.0000,4.0000,2110.0,174.00,66.000,33.000,0.03229,0.23404,
2020-06-11,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,,23.000,8.0000,15235,15371,-1.0000,-230.00,-0.00007,-0.01474,
2020-06-11,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,P,1.0000,8.0000,6.0000,173.00,163.00,,,,,
2020-06-11,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,C,1.0000,5.0000,4.0000,10.000,10.000,,,,,
2020-06-11,SBPR,Опцион на Фьючерсный контракт на привилегированные акции ПАО Сбербанк,P,,1.0000,,,10.000,,,,,
2020-06-11,SBPR,Фьючерсный контракт на привилегированные акции ПАО Сбербанк,F,1.0000,224.00,183.00,5195.0,5059.0,63.000,292.00,0.01228,0.06125,
2020-06-11,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",C,1.0000,1.0000,1.0000,15.000,15.000,,,,,
2020-06-11,HYDR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",P,1.0000,1.0000,1.0000,40.000,40.000,,,,,
2020-06-11,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,,8.0000,12.000,7654.0,1525.0,1320.0,149.00,0.20840,0.10828,
2020-06-11,HYDR,"Фьючерсный контракт на обыкновенные акции ПАО ""РусГидро""",F,1.0000,211.00,161.00,3655.0,9784.0,-1091.0,80.000,-0.22988,0.00824,
2020-06-11,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,,3.0000,12.000,2507.0,287.00,673.00,3.0000,0.36696,0.01056,
2020-06-11,TATN,"Фьючерсный контракт на обыкновенные акции ПАО ""Татнефть"" им. В.Д. Шашина",F,1.0000,130.00,79.000,1299.0,3519.0,-184.00,486.00,-0.12407,0.16024,
2020-06-11,CHMF,"Фьючерсный контракт на обыкновенные акции ПАО ""Северсталь""",F,1.0000,42.000,64.000,306.00,225.00,106.00,23.000,0.53000,0.11386,
