moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2021-04-02,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1340.0,849.00,177670,312766,18443,14691,0.11583,0.04929,
2021-04-02,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,14423,8975.0,538124,587630,4432.0,-2473.0,0.00830,-0.00419,
2021-04-02,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,31.000,33.000,196522,61426,1249.0,5001.0,0.00640,0.08863,
2021-04-02,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,235.00,134.00,855744,806238,-47087,-40182,-0.05215,-0.04747,
2021-04-02,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1109.0,700.00,125078,205929,7561.0,7426.0,0.06434,0.03741,
2021-04-02,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,27.000,32.000,120402,39551,-172.00,-37.000,-0.00143,-0.00093,
2021-04-02,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,44.000,38.000,136919,16049,6371.0,607.00,0.04880,0.03931,
2021-04-02,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,130.00,122.00,9341.0,9510.0,542.00,540.00,0.06160,0.06020,
2021-04-02,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,3.0000,5.0000,3588.0,42.000,2.0000,,0.00056,,
2021-04-02,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,3187.0,1013.0,25183,146053,-1579.0,4185.0,-0.05900,0.02950,
2021-04-02,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,6.0000,6.0000,4131.0,3962.0,,2.0000,,0.00051,
2021-04-02,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,62.000,67.000,2258.0,5804.0,208.00,210.00,0.10146,0.03754,
2021-04-02,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,13.000,5.0000,4436.0,1340.0,658.00,452.00,0.17417,0.50901,
2021-04-02,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,241.00,68.000,539.00,3635.0,177.00,383.00,0.48895,0.11777,
2021-04-02,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,615.00,,,,,,
2021-04-02,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,47.000,48.000,3134.0,3134.0,62.000,62.000,0.02018,0.02018,
2021-04-02,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,16.000,28.000,3754.0,6716.0,-83.000,-300.00,-0.02163,-0.04276,
2021-04-02,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,6.0000,11.000,142.00,757.00,,,,,
2021-04-02,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,504.00,374.00,9937.0,6975.0,-306.00,-89.000,-0.02987,-0.01260,
2021-04-02,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,2.0000,1622.0,1622.0,-59.000,-59.000,-0.03510,-0.03510,
2021-04-02,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,23.000,29.000,44879,41697,-38.000,1558.0,-0.00085,0.03882,
2021-04-02,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1328.0,810.00,62122,60689,7011.0,6461.0,0.12722,0.11915,
2021-04-02,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,23.000,31.000,34612,36045,-199.00,351.00,-0.00572,0.00983,
2021-04-02,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,4417.0,3795.0,65608,59965,789.00,-5055.0,0.01217,-0.07775,
2021-04-02,RTS,Фьючерсный контракт на Индекс РТС,F,,66.000,98.000,106446,112089,113.00,5957.0,0.00106,0.05613,
2021-04-02,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,1225.0,821.00,53839,57021,7318.0,5722.0,0.15731,0.11154,
2021-04-02,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,4.0000,8.0000,511.00,174.00,,,,,
2021-04-02,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,72.000,20.000,84509,28935,-441.00,781.00,-0.00519,0.02774,
2021-04-02,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,45.000,49.000,2113.0,2161.0,2.0000,2.0000,0.00095,0.00093,
2021-04-02,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,5582.0,1256.0,18908,74482,-2440.0,-3662.0,-0.11430,-0.04686,
2021-04-02,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,123.00,76.000,1269.0,1606.0,75.000,75.000,0.06281,0.04899,
2021-04-02,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,1.0000,2.0000,106.00,58.000,,,,,
2021-04-02,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,,2.0000,2.0000,624.00,624.00,,,,,
2021-04-02,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",C,1.0000,9.0000,9.0000,628.00,628.00,,,,,
2021-04-02,ROSN,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",P,1.0000,2.0000,5.0000,22.000,22.000,,,,,
2021-04-02,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,1.0000,202.00,623.00,9323.0,3048.0,-334.00,-111.00,-0.03459,-0.03514,
2021-04-02,ROSN,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""Роснефть""",F,,10.000,17.000,3709.0,9984.0,213.00,-10.000,0.06093,-0.00100,
2021-04-02,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,,2.0000,3.0000,369.00,352.00,,,,,
2021-04-02,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,,7.0000,3.0000,6249.0,867.00,5.0000,16.000,0.00080,0.01880,
2021-04-02,MTSI,"Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",F,1.0000,387.00,39.000,369.00,5751.0,11.000,,0.03073,,
2021-04-02,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,1.0000,5.0000,13.000,83.000,241.00,,,,,
2021-04-02,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",P,,,1.0000,158.00,,,,,,
2021-04-02,MTSI,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""МТС""",C,1.0000,9.0000,9.0000,551.00,568.00,,,,,
2021-04-02,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,1.0000,55.000,57.000,568.00,433.00,-12.000,-15.000,-0.02069,-0.03348,
2021-04-02,NOTK,"Фьючерсный контракт на обыкновенные акции ПАО ""НОВАТЭК""",F,,5.0000,1.0000,10.000,145.00,,3.0000,,0.02113,
2021-04-02,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,1.0000,24.000,9.0000,21.000,65.000,,,,,
2021-04-02,TRNF,"Фьючерсный контракт на привилегированные акции ПАО ""Транснефть""",F,,,4.0000,44.000,,,,,,
2021-04-02,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,,1.0000,1.0000,2.0000,12.000,2.0000,,,,
2021-04-02,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,,2.0000,2.0000,112.00,3.0000,,2.0000,,2.0000,
2021-04-02,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,,27.000,10.000,196848,9090.0,-4907.0,580.00,-0.02432,0.06816,
2021-04-02,SILV,Фьючерсный контракт на аффинированное серебро в слитках,F,1.0000,5066.0,725.00,16619,204377,-810.00,-6297.0,-0.04647,-0.02989,
2021-04-02,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,P,1.0000,47.000,35.000,858.00,848.00,7.0000,9.0000,0.00823,0.01073,
2021-04-02,SILV,Опцион на Фьючерсный контракт на аффинированное серебро в слитках,C,1.0000,70.000,41.000,1226.0,1335.0,-11.000,-13.000,-0.00889,-0.00964,
2021-04-02,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,,2.0000,3.0000,642.00,80.000,11.000,2.0000,0.01743,0.02564,
2021-04-02,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,,22.000,19.000,130618,21709,921.00,887.00,0.00710,0.04260,
2021-04-02,VTBR,Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),F,1.0000,993.00,1189.0,54292,163201,4469.0,4503.0,0.08970,0.02837,
2021-04-02,VTBR,Опцион на Фьючерсный контракт на обыкновенные акции Банк ВТБ (ПАО),P,1.0000,42.000,34.000,1367.0,1929.0,59.000,68.000,0.04511,0.03654,
