moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-11-03,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,9248.0,7990.0,390146,542435,-4341.0,-69557,-0.01100,-0.11366,
2020-11-03,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,49.000,35.000,203943,132492,6902.0,4159.0,0.03503,0.03241,
2020-11-03,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1493.0,922.00,276761,348212,8953.0,11696,0.03343,0.03476,
2020-11-03,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,1236.0,761.00,187706,239109,3719.0,14629,0.02021,0.06517,
2020-11-03,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,194.00,153.00,881996,729707,-60219,4997.0,-0.06391,0.00690,
2020-11-03,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,27.000,36.000,95076,43673,7933.0,-2977.0,0.09103,-0.06382,
2020-11-03,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,3022.0,1095.0,33542,142576,-4309.0,-14249,-0.11384,-0.09086,
2020-11-03,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,2.0000,4.0000,975.00,128.00,4.0000,2.0000,0.00412,0.01587,
2020-11-03,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,5.0000,7.0000,426.00,212.00,2.0000,4.0000,0.00472,0.01923,
2020-11-03,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,75.000,95.000,2913.0,3760.0,126.00,128.00,0.04521,0.03524,
2020-11-03,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,45.000,39.000,125720,16686,-9626.0,314.00,-0.07112,0.01918,
2020-11-03,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,148.00,96.000,5417.0,5631.0,-232.00,-234.00,-0.04107,-0.03990,
2020-11-03,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,178.00,57.000,879.00,5296.0,152.00,-67.000,0.20908,-0.01249,
2020-11-03,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,11.000,12.000,6081.0,1664.0,-16.000,203.00,-0.00262,0.13895,
2020-11-03,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,1.0000,2.0000,2.0000,9.0000,9.0000,,,,,
2020-11-03,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,1.0000,2.0000,1.0000,6.0000,6.0000,,,,,
2020-11-03,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,,,1.0000,560.00,,,,,,
2020-11-03,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,1450.0,196.00,4797.0,29353,153.00,-4351.0,0.03295,-0.12909,
2020-11-03,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,1.0000,57.000,56.000,2431.0,2453.0,57.000,57.000,0.02401,0.02379,
2020-11-03,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",C,,2.0000,3.0000,1530.0,1508.0,23.000,23.000,0.01526,0.01549,
2020-11-03,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,10.000,16.000,149.00,709.00,2.0000,2.0000,0.01361,0.00283,
2020-11-03,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,,65.000,18.000,28838,4282.0,-4556.0,-52.000,-0.13643,-0.01200,
2020-11-03,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,1.0000,4.0000,7.0000,77.000,78.000,10.000,10.000,0.14925,0.14706,
2020-11-03,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,,10.000,27.000,10622,5873.0,-130.00,126.00,-0.01209,0.02192,
2020-11-03,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,1.0000,7.0000,6.0000,66.000,67.000,,,,,
2020-11-03,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",P,,,1.0000,1.0000,,,,,,
2020-11-03,GMKR,"Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",F,1.0000,400.00,138.00,876.00,5625.0,-47.000,-303.00,-0.05092,-0.05111,
2020-11-03,GMKR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""ГМК ""Норильский никель""",C,,1.0000,2.0000,25.000,24.000,,,,,
2020-11-03,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,1.0000,1314.0,790.00,59874,66964,621.00,-470.00,0.01048,-0.00697,
2020-11-03,RTS,Фьючерсный контракт на Индекс РТС,F,1.0000,4187.0,3943.0,78652,64590,7823.0,-15462,0.11045,-0.19315,
2020-11-03,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,1.0000,1511.0,820.00,62857,78367,2200.0,4965.0,0.03627,0.06764,
2020-11-03,RTS,Фьючерсный контракт на Индекс РТС,F,,90.000,77.000,125746,139808,-27573,-4288.0,-0.17984,-0.02976,
2020-11-03,RTS,Опцион на Фьючерсный контракт на Индекс РТС,P,,39.000,27.000,38601,23091,3219.0,454.00,0.09098,0.02006,
2020-11-03,RTS,Опцион на Фьючерсный контракт на Индекс РТС,C,,27.000,45.000,42867,35777,-166.00,925.00,-0.00386,0.02654,
2020-11-03,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,1.0000,105.00,56.000,1947.0,1687.0,-7.0000,-7.0000,-0.00358,-0.00413,
2020-11-03,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,1.0000,3795.0,887.00,9848.0,54915,-557.00,-5279.0,-0.05353,-0.08770,
2020-11-03,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,,2.0000,5.0000,821.00,391.00,,,,,
2020-11-03,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,P,1.0000,66.000,56.000,1664.0,2094.0,6.0000,6.0000,0.00362,0.00287,
2020-11-03,GOLD,Опцион на Фьючерсный контракт на аффинированное золото в слитках,C,,1.0000,3.0000,92.000,352.00,,,,,
2020-11-03,GOLD,Фьючерсный контракт на аффинированное золото в слитках,F,,91.000,25.000,75963,30896,426.00,5148.0,0.00564,0.19994,
